   T,   T,28323870190,100000
*G47,**05,    4307612,    26
*G47,**06,    8668383,    22
*G47,0701,     303384,     7
*G47,0702,    2012739,    17
*H49,   T,  497540330,  1797
*H49,**01,   68676709,   167
*H49,**03,  175609570,   738
*H49,**07,   17031041,    38
*H49,0101,   65263165,   141
*H49,0102,    3413544,    26
*H49,**02,       1613,     1
*H49,0301,   43036004,   264
*H49,0302,   73260292,   274
*H49,0303,   59313274,   200
*H49,**04,  130249978,   502
*H49,**05,   87431132,   342
*H49,**06,   18540287,     9
*H49,0701,   16679246,    35
*H49,0702,     351795,     3
*H50,   T,  935372663,   946
*H50,**01,     439327,    10
*H50,**03,   10958750,    40
*H50,**07,   17104851,   141
*H50,0101,       5566,     1
*H50,0102,     433761,     9
*H50,**02,    9488912,    63
*H50,0301,     962032,     7
*H50,0302,    9818585,    31
*H50,0303,     178133,     2
*H50,**04,    5136033,    31
*H50,**05,  886244665,   657
*H50,**06,    6000125,     4
*H50,0701,   17104851,   141
*H51,   T,   65866158,   379
*H51,**01,    7600821,    41
*H51,**03,   36464607,   174
*H51,**07,   18575090,   128
*H51,0101,     366923,     2
*H51,0102,    7233898,    39
*H51,**02,     776300,     2
*H51,0301,     915466,     6
*H51,0302,   34181635,   142
*H51,0303,    1367506,    26
*H51,**04,     345415,     5
*H51,**05,    1506218,    26
*H51,**06,     597707,     3
*H51,0701,    2547605,    24
*H51,0702,   16027485,   104
*H52,   T,  416136411,  1175
*H52,**01,  167460382,   775
*H52,**03,  242057144,   341
*H52,**07,    3400008,    18
*H52,0101,   95590685,   439
*H52,0102,   71869697,   336
*H52,**02,     721719,     3
*H52,0301,      46727,     2
*H52,0302,  200699775,   200
*H52,0303,   41310642,   139
*H52,**04,    1024687,    13
*H52,**05,      78805,     1
*H52,**06,    1393666,    24
*H52,0701,      21359,     1
*H52,0702,    3378649,    17
*H53,   T,  248021662,   940
*H53,**01,   30237352,   251
*H53,**03,   26152407,    81
*H53,**07,    6318220,    75
*H53,0101,    1032496,     2
*H53,0102,   29204856,   249
*H53,**02,    9989010,    43
*H53,0301,    1565915,     9
*H53,0302,   24481406,    71
*H53,0303,     105086,     1
*H53,**04,     140797,     2
*H53,**05,      44438,     1
*H53,**06,  175139438,   487
*H53,0701,    1901391,    23
*H53,0702,    4416829,    52
*I55,   T,  249690981,  1222
*I55,**01,  144041961,   636
*I55,**03,   82087519,   391
*I55,**07,    1226645,    19
*I55,0101,    2298730,    11
*I55,0102,  141743231,   625
*I55,**02,      56015,     1
*I55,0301,     130717,     2
*I55,0302,   46517320,   265
*I55,0303,   35439482,   124
*I55,**04,    9149471,    48
*I55,**05,     574762,     1
*I55,**06,   12554608,   126
*I55,0701,    1091857,    18
*I55,0702,     134788,     1
*I56,   T, 1498539119,  2122
*I56,**01,  173719807,   555
*I56,**03,  130537089,   612
*I56,**07,   21068334,    98
*I56,0101,    2052808,    24
*I56,0102,  171666999,   531
*I56,**02,   72621790,   492
*I56,0301,       9175,     1
*I56,0302,   69360890,   238
*I56,0303,   61167024,   373
*I56,**04,   46182260,   210
*I56,**06, 1054409839,   155
*I56,0701,   12790893,    22
*I56,0702,    8277441,    76
*J58,   T,  112370964,   515
*J58,**01,   24130673,    75
*J58,**03,   11103849,    23
*J58,**07,     155961,     2
*J58,0101,     124572,     2
*J58,0102,   24006101,    73
*J58,**02,   62316314,   302
*J58,0301,    2081654,     9
*J58,0302,    8679005,    13
*J58,0303,     343190,     1
*J58,**04,   13099573,   100
*J58,**05,    1536640,    12
*J58,**06,      27954,     1
*J58,0701,      10099,     1
*J58,0702,     145862,     1
*J59,   T,  242410374,  1146
*J59,**01,   24737215,    54
*J59,**03,  181291377,   997
*J59,**07,       2401,     2
*J59,0101,   24348569,    53
*J59,0102,     388646,     1
*J59,**02,      73254,     3
*J59,0301,   26356312,   146
*J59,0302,   97829103,   594
*J59,0303,   57105962,   257
*J59,**04,   21411348,    18
*J59,**05,      20279,     1
*J59,**06,   14874500,    71
*J59,0701,       1945,     1
*J59,0702,        456,     1
*J60,   T,  164156485,   392
*J60,**01,    3435856,    18
*J60,**03,  124717640,   223
*J60,**07,     712133,     3
*J60,0101,    1732062,     3
*J60,0102,    1703794,    15
*J60,**02,   27133203,   128
*J60,0301,      21705,     1
*J60,0302,  119759925,   184
*J60,0303,    4936010,    38
*J60,**04,    7272667,     8
*J60,**05,      66570,     2
*J60,**06,     818416,    10
*J60,0701,      24257,     1
*J60,0702,     687876,     2
*J61,   T,  209193708,   693
*J61,**01,    6759849,    56
*J61,**03,   41184532,   193
*J61,**07,   50876837,    54
*J61,0101,    6735750,    53
*J61,0102,      24099,     3
*J61,**02,     112095,     2
*J61,0301,     747969,     5
*J61,0302,       7513,     1
*J61,0303,   40429050,   187
*J61,**04,   67803530,   288
*J61,**05,   41964225,    94
*J61,**06,     492640,     6
*J61,0701,   10752362,    30
*J61,0702,   40124475,    24
*J62,   T,  426778476,  2055
*J62,**01,     229976,     4
*J62,**03,  175744115,   873
*J62,**07,  113004716,   632
*J62,0101,     158311,     2
*J62,0102,      71665,     2
*J62,**02,   12703927,    56
*J62,0301,   70687737,   472
*J62,0302,   31788860,   125
*J62,0303,   73267518,   276
*J62,**04,   91832354,   364
*J62,**05,   19432968,    36
*J62,**06,   13830420,    90
*J62,0701,     389053,     3
*J62,0702,  112615663,   629
*J63,   T,  588422431,  2114
*J63,**01,   17844702,   119
*J63,**03,  317155634,  1243
*J63,**07,  201065056,   715
*J63,0101,   17840448,   118
*J63,0102,       4254,     1
*J63,**02,     447673,     1
*J63,0301,   87118028,   488
*J63,0302,   33469743,   217
*J63,0303,  196567863,   538
*J63,**04,    2380349,    10
*J63,**05,   49421966,    25
*J63,**06,     107051,     1
*J63,0701,  200889207,   713
*J63,0702,     175849,     2
*K64,   T,  306981282,  1543
*K64,**01,  112505877,   367
*K64,**03,  103197445,   577
*K64,**07,    1848173,    26
*K64,0101,  109493728,   338
*K64,0102,    3012149,    29
*K64,**02,    1094935,    19
*K64,0301,      13519,     1
*K64,0302,  102599664,   571
*K64,0303,     584262,     5
*K64,**04,   44733176,   343
*K64,**05,   43302685,   210
*K64,**06,     298991,     1
*K64,0701,     104702,     2
*K64,0702,    1743471,    24
*K65,   T,  226548855,  1229
*K65,**01,   77401318,   451
*K65,**03,  103077958,   487
*K65,**07,   30992837,   180
*K65,0101,   73483664,   436
*K65,0102,    3917654,    15
*K65,**02,     903945,    12
*K65,0301,   85525935,   382
*K65,0302,   17481178,   102
*K65,0303,      70845,     3
*K65,**04,    1131571,     4
*K65,**05,      68651,     3
*K65,**06,   12972575,    92
*K65,0701,   30992837,   180
*K66,   T,  252192304,   733
*K66,**01,   15759726,    92
*K66,**03,    3330625,     8
*K66,**07,     340796,     4
*K66,0101,   15548310,    89
*K66,0102,     211416,     3
*K66,**02,    1218971,     8
*K66,0301,      83707,     1
*K66,0302,      59482,     2
*K66,0303,    3187436,     5
*K66,**04,    1902455,     9
*K66,**05,    9350803,    58
*K66,**06,  220288928,   554
*K66,0701,     300603,     3
*K66,0702,      40193,     1
L681,   T,  290415224,  1505
L681,**01,  173279438,   758
L681,**03,   31804115,   164
L681,**07,   66711965,   472
L681,0101,   82579381,   387
L681,0102,   90700057,   371
L681,**02,    1563115,    18
L681,0301,   30543856,   155
L681,0302,     454834,     1
L681,0303,     805425,     8
L681,**04,     143907,     3
L681,**05,    8311035,    34
L681,**06,    8601649,    56
L681,0701,   25752304,   144
L681,0702,   40959661,   328
L682,   T,  485330726,   643
L682,**01,  359300362,    42
L682,**03,  106678860,   442
L682,**07,   18631421,   136
L682,0101,  358862397,    41
L682,0102,     437965,     1
L682,**02,     642278,    17
L682,0301,    5882590,     6
L682,0302,     790998,     6
L682,0303,  100005272,   430
L682,**04,      19729,     2
L682,**05,      53175,     3
L682,**06,       4901,     1
L682,0701,   15393902,   116
L682,0702,    3237519,    20
L683,   T,   57070994,   423
L683,**01,   17734504,    95
L683,**03,    2417154,    25
L683,**07,   30335685,   252
L683,0101,    7908145,    67
L683,0102,    9826359,    28
L683,**02,    5570184,    45
L683,0301,       2746,     1
L683,0302,     113546,     4
L683,0303,    2300862,    20
L683,**04,      74390,     1
L683,**05,     623913,     2
L683,**06,     315164,     3
L683,0701,    6548283,    38
L683,0702,   23787402,   214
*M69,   T,  147214360,   851
*M69,**01,   80334770,   474
*M69,**03,   18110184,   137
*M69,**07,    2549398,    31
*M69,0101,   29807500,   210
*M69,0102,   50527270,   264
*M69,**02,    7441576,    55
*M69,0301,     370939,     3
*M69,0302,   17564846,   132
*M69,0303,     174399,     2
*M69,**04,     159457,     1
*M69,**05,   38274245,   150
*M69,**06,     344730,     3
*M69,0701,    2460461,    30
*M69,0702,      88937,     1
*M70,   T,  369564152,  1739
*M70,**01,    4935358,    49
*M70,**03,   39581633,   160
*M70,**07,   15946512,    84
*M70,0101,    4767986,    48
*M70,0102,     167372,     1
*M70,**02,   27017135,   155
*M70,0301,   10603046,     8
*M70,0302,   28963831,   149
*M70,0303,      14756,     3
*M70,**04,  183344583,   655
*M70,**05,   83598390,   541
*M70,**06,   15140541,    95
*M70,0701,      30735,     1
*M70,0702,   15915777,    83
*M71,   T,  256146518,   611
*M71,**01,     992059,     3
*M71,**03,  177012690,   125
*M71,**07,   11908243,    40
*M71,0101,     955125,     2
*M71,0102,      36934,     1
*M71,**02,    6189570,    25
*M71,0301,   14324182,    44
*M71,0302,  161089449,    69
*M71,0303,    1599059,    12
*M71,**04,   59841132,   415
*M71,**05,     202824,     3
*M71,0701,   11706510,    39
*M71,0702,     201733,     1
*M72,   T,  228760761,  1106
*M72,**01,    1605067,    12
*M72,**03,   96580333,   413
*M72,**07,   51065629,   282
*M72,0101,    1604620,    11
*M72,0102,        447,     1
*M72,**02,   16970874,    73
*M72,0301,   16581301,    85
*M72,0302,     413798,     1
*M72,0303,   79585234,   327
*M72,**04,      31523,     1
*M72,**05,   15477306,    23
*M72,**06,   47030029,   302
*M72,0702,   51065629,   282
*M73,   T,  168336451,   666
*M73,**01,    5752726,    40
*M73,**03,   13024399,   100
*M73,**07,  142557953,   460
*M73,0101,     226396,     5
*M73,0102,    5526330,    35
*M73,**02,    2320838,    27
*M73,0301,    3448730,    32
*M73,0302,    4003437,    22
*M73,0303,    5572232,    46
*M73,**04,    2236450,    14
*M73,**05,    1676174,    21
*M73,**06,     767911,     4
*M73,0701,   43737808,    36
*M73,0702,   98820145,   424
*M74,   T,   86728202,   565
*M74,**01,   14805517,   103
*M74,**03,    5427643,    49
*M74,**07,   36263295,   226
*M74,0101,    5262616,    36
*M74,0102,    9542901,    67
*M74,**02,    2475928,    40
*M74,0301,      44611,     1
*M74,0302,    5332433,    45
*M74,0303,      50599,     3
*M74,**04,      48643,     2
*M74,**05,   26795814,   142
*M74,**06,     911362,     3
*M74,0701,    1395950,     4
*M74,0702,   34867345,   222
*M75,   T,  104979769,   728
*M75,**01,     394997,    11
*M75,**03,    1237045,     6
*M75,**07,   49519577,   344
*M75,0101,     194752,     5
*M75,0102,     200245,     6
*M75,**02,    3325717,    22
*M75,0301,     958260,     2
*M75,0302,     203080,     3
*M75,0303,      75705,     1
*M75,**04,   41167674,   308
*M75,**05,      65999,     1
*M75,**06,    9268760,    36
*M75,0701,    1493489,    16
*M75,0702,   48026088,   328
*N77,   T,  474576450,  1059
*N77,**01,    5837871,    16
*N77,**03,  288016405,   613
*N77,**07,   68516156,    98
*N77,0101,     845938,    12
*N77,0102,    4991933,     4
*N77,**02,   47226493,   265
*N77,0301,   22609757,   118
*N77,0302,  247643537,   358
*N77,0303,   17763111,   137
*N77,**04,     569128,     7
*N77,**05,     338371,     1
*N77,**06,   64072026,    59
*N77,0701,    4226023,    19
*N77,0702,   64290133,    79
*N78,   T,  127949002,   607
*N78,**01,    9675219,    63
*N78,**03,  108542398,   472
*N78,**07,    3633360,    25
*N78,0101,    8243314,    53
*N78,0102,    1431905,    10
*N78,**02,    5783457,    40
*N78,0301,   56801893,   246
*N78,0302,   21391945,    91
*N78,0303,   30348560,   135
*N78,**04,     183013,     5
*N78,**05,     131555,     2
*N78,0701,    3449447,    22
*N78,0702,     183913,     3
*N79,   T,  201756113,   960
*N79,**01,   94654092,   514
*N79,**03,   67114231,   215
*N79,**07,    1947704,    31
*N79,0101,   88179696,   480
*N79,0102,    6474396,    34
*N79,**02,    2702133,     6
*N79,0301,     132278,     2
*N79,0302,   30464203,   114
*N79,0303,   36517750,    99
*N79,**04,   21049653,   100
*N79,**05,   10652017,    59
*N79,**06,    3636283,    35
*N79,0701,     279673,     2
*N79,0702,    1668031,    29
*N80,   T,   96467623,   397
*N80,**01,   71145301,   249
*N80,**03,    8228565,    50
*N80,**07,    1099849,     2
*N80,0101,    9002566,    56
*N80,0102,   62142735,   193
*N80,**02,      14185,     1
*N80,0301,    1559651,    18
*N80,0302,    6646259,    31
*N80,0303,      22655,     1
*N80,**04,    7325216,     9
*N80,**05,     729970,     3
*N80,**06,    7924537,    83
*N80,0701,    1099849,     2
*N81,   T,  574392740,  1930
*N81,**01,  124095020,   404
*N81,**03,  211848387,   713
*N81,**07,    7921402,    62
*N81,0101,  101176872,   284
*N81,0102,   22918148,   120
*N81,**02,   35242944,   138
*N81,0301,    4093076,    27
*N81,0302,   74967403,   115
*N81,0303,  132787908,   571
*N81,**04,   23971847,   113
*N81,**05,  163389370,   431
*N81,**06,    7923770,    69
*N81,0701,    5605693,    42
*N81,0702,    2315709,    20
*N82,   T,   78136909,   436
*N82,**01,     777370,     3
*N82,**03,    1658306,     9
*N82,**07,   33368279,   198
*N82,0101,     774553,     2
*N82,0102,       2817,     1
*N82,**02,    9767535,    55
*N82,0301,    1383602,     5
*N82,0302,      41736,     1
*N82,0303,     232968,     3
*N82,**04,     110209,     1
*N82,**05,     231520,     4
*N82,**06,   32223690,   166
*N82,0701,   25595007,   180
*N82,0702,    7773272,    18
P851,   T,  302082201,  1260
P851,**01,  149960677,   450
P851,**03,   19043273,   145
P851,**07,   57175000,   290
P851,0101,     486313,     4
P851,0102,  149474364,   446
P851,**02,   44923525,   211
P851,0301,     594568,     6
P851,0302,    1469869,    10
P851,0303,   16978836,   129
P851,**04,     172626,     4
P851,**05,     169563,     7
P851,**06,   30637537,   153
P851,0701,      31428,     1
P851,0702,   57143572,   289
P853,   T,  244615871,   829
P853,**01,   17905494,    56
P853,**03,  180719308,   702
P853,**07,   40103917,    26
P853,0101,     400079,     8
P853,0102,   17505415,    48
P853,**02,    3075163,    19
P853,0301,   19420506,    73
P853,0302,     840526,    11
P853,0303,  160458276,   618
P853,**04,     728925,     2
P853,**05,     179711,     1
P853,**06,    1903353,    23
P853,0701,   40103917,    26
P854,   T,  385658333,  1535
P854,**01,   91333139,   541
P854,**03,  146656983,   473
P854,**07,  102024426,   360
P854,0101,        321,     1
P854,0102,   91332818,   540
P854,**02,    4592727,    30
P854,0301,    1160686,     6
P854,0302,     483500,     3
P854,0303,  145012797,   464
P854,**04,   37000272,    98
P854,**05,     617190,     2
P854,**06,    3433596,    31
P854,0701,  101969363,   358
P854,0702,      55063,     2
P855,   T,  324530978,  1208
P855,**01,   72553238,   215
P855,**03,    6733920,    35
P855,**07,   50442305,   276
P855,0101,      85817,     1
P855,0102,   72467421,   214
P855,**02,    2490449,    16
P855,0301,      26131,     1
P855,0302,     196879,     2
P855,0303,    6510910,    32
P855,**04,     531228,     6
P855,**05,    4575997,    30
P855,**06,  187203841,   630
P855,0702,   50442305,   276
P856,   T,  271676114,  1370
P856,**01,   12952572,    61
P856,**03,  166310961,   877
P856,**07,   14932089,    62
P856,0101,   10676379,    50
P856,0102,    2276193,    11
P856,**02,   52669558,   156
P856,0301,  128472799,   693
P856,0302,     111112,     1
P856,0303,   37727050,   183
P856,**04,   24164688,   204
P856,**05,     135054,     3
P856,**06,     511192,     7
P856,0701,   14932031,    61
P856,0702,         58,     1
*Q86,   T,  306361798,   865
*Q86,**01,    3126329,     3
*Q86,**03,  229166317,   404
*Q86,**07,     221706,     3
*Q86,0101,       9781,     1
*Q86,0102,    3116548,     2
*Q86,**02,   71013139,   429
*Q86,0301,  146366285,   150
*Q86,0302,   22052473,     1
*Q86,0303,   60747559,   253
*Q86,**04,    2162988,    17
*Q86,**05,     318124,     2
*Q86,**06,     353195,     7
*Q86,0701,     157359,     1
*Q86,0702,      64347,     2
*Q87,   T,  217054574,   716
*Q87,**01,    7904429,    73
*Q87,**03,  198640734,   601
*Q87,**07,     222458,     3
*Q87,0101,    4293495,    31
*Q87,0102,    3610934,    42
*Q87,**02,    1010291,     8
*Q87,0301,     528810,     8
*Q87,0302,    2404025,    34
*Q87,0303,  195707899,   559
*Q87,**04,    6873972,    23
*Q87,**05,       5286,     1
*Q87,**06,    2397404,     7
*Q87,0701,      66482,     2
*Q87,0702,     155976,     1
*Q88,   T,  208828256,  1003
*Q88,**01,   28027033,   184
*Q88,**03,   17499183,   134
*Q88,**07,   45234050,    85
*Q88,0101,   27491025,   180
*Q88,0102,     536008,     4
*Q88,**02,  110699749,   537
*Q88,0301,    7718202,    64
*Q88,0302,    9464872,    68
*Q88,0303,     316109,     2
*Q88,**04,    5303838,    34
*Q88,**05,     154533,     1
*Q88,**06,    1909870,    28
*Q88,0701,   45026582,    79
*Q88,0702,     207468,     6
*R90,   T,  237027173,   613
*R90,**01,   32293880,   192
*R90,**03,   28899286,   129
*R90,**07,     826435,     2
*R90,0101,   31954696,   190
*R90,0102,     339184,     2
*R90,**02,     111180,     2
*R90,0301,   10307325,    87
*R90,0302,    3892128,    11
*R90,0303,   14699833,    31
*R90,**04,  174265073,   279
*R90,**05,     359619,     4
*R90,**06,     271700,     5
*R90,0701,     598890,     1
*R90,0702,     227545,     1
*R91,   T,  489705654,  1109
*R91,**01,  235549657,   118
*R91,**03,   15395978,    65
*R91,**07,     121668,     2
*R91,0101,  229489217,    35
*R91,0102,    6060440,    83
*R91,**02,     557291,     8
*R91,0301,   11552866,    48
*R91,0302,     104024,     2
*R91,0303,    3739088,    15
*R91,**04,   37499565,   171
*R91,**05,  165632943,   676
*R91,**06,   34948552,    69
*R91,0701,      87667,     1
*R91,0702,      34001,     1
*R92,   T,  206921138,   988
*R92,**01,   37007169,   157
*R92,**03,   42759186,   268
*R92,**07,   79076390,   282
*R92,0101,    5845524,    54
*R92,0102,   31161645,   103
*R92,**02,      26953,     2
*R92,0301,    1251997,     4
*R92,0302,    1255848,    18
*R92,0303,   40251341,   246
*R92,**04,   41568319,   260
*R92,**05,    6346319,    16
*R92,**06,     136802,     3
*R92,0701,   79076390,   282
*R93,   T,   57847747,   201
*R93,**01,   14701138,    45
*R93,**03,    6170779,    20
*R93,**07,   20591605,    91
*R93,0101,   10643679,    21
*R93,0102,    4057459,    24
*R93,**02,    4547857,     1
*R93,0301,    5972323,    18
*R93,0302,      13097,     1
*R93,0303,     185359,     1
*R93,**04,    9731589,    24
*R93,**05,    2103007,    19
*R93,**06,       1772,     1
*R93,0701,   20375322,    88
*R93,0702,     216283,     3
*S94,   T,  175375746,   942
*S94,**01,   14688012,    56
*S94,**03,  152840755,   815
*S94,**07,    3404082,    30
*S94,0101,     596612,     6
*S94,0102,   14091400,    50
*S94,**02,    3847507,    35
*S94,0301,  100118595,   495
*S94,0302,   47432288,   265
*S94,0303,    5289872,    55
*S94,**04,     342446,     3
*S94,**05,      95022,     1
*S94,**06,     157922,     2
*S94,0701,      11583,     1
*S94,0702,    3392499,    29
*S95,   T,  461008309,  1270
*S95,**01,  110981247,   425
*S95,**03,   46721437,   242
*S95,**07,      23338,     1
*S95,0101,   76511927,   267
*S95,0102,   34469320,   158
*S95,**02,   12443908,    72
*S95,0301,   10997027,    62
*S95,0302,     602853,     3
*S95,0303,   35121557,   177
*S95,**04,   23193315,    23
*S95,**05,  266477743,   501
*S95,**06,    1167321,     6
*S95,0701,      23338,     1
*S96,   T,  279682174,   739
*S96,**01,     996011,    12
*S96,**03,  140951876,   118
*S96,**07,   34403894,   174
*S96,0101,     272355,     2
*S96,0102,     723656,    10
*S96,**02,   73260667,   275
*S96,0301,  128755050,    25
*S96,0302,   12005676,    91
*S96,0303,     191150,     2
*S96,**04,   22112811,   106
*S96,**05,    4062909,    40
*S96,**06,    3894006,    14
*S96,0701,   34403894,   174
